id,name,extentions,source,ref,title,description,verified,reg_date,developer,custom_style,icon_path
1,safeari,[],https://bing.com,https://bing.com,safeari,BiNg+SeArCh+BcS+iT+iS+gOoD,0,"2023-08-22 12:37:48",mock_os,,favicon.png
2,icould,[],login.html,https://www.icloud.com/,Icould,Could+i%3F,0,"2023-08-22 13:53:41",mock_os,,favicon.png
3,"mapple apps",[],"https://www.google.com/maps/embed/v1/view?key=AIzaSyA1Vf45Wr0eyIUAhNrqjezMEW82fhBRDIA&amp;center=43.723205,10.39469&amp;zoom=18&amp;maptype=satellite","https://www.google.com/maps/embed/v1/view?key=AIzaSyA1Vf45Wr0eyIUAhNrqjezMEW82fhBRDIA&amp;center=43.723205,10.39469&amp;zoom=18&amp;maptype=satellite","Mapple Apps",Better+ways+ahead+with+google+maps.,0,"2023-08-22 12:37:48",mock_os,,favicon.png
4,"cripple music",[],cripple_music.html,https://www.apple.com/benl/apple-music/,"Cripple Music",Lose+yourself+in+50+million+songs,0,"2023-08-22 13:54:07",mock_os,,favicon.png
5,statsfm,[],https://stats.fm/,https://stats.fm/,Stats.fm,Your+music%2C+your+stats%2C+your+story.,0,"2023-08-22 12:37:48",mock_os,,favicon.png
6,"rocks star",[],https://www.rockstargames.com/,https://www.rockstargames.com/,"rocks star launcher",Killing+dreams.+Murdering+hope.+Fighting+the+righteous.+Bullying+the+weak.,0,"2023-08-22 12:37:48",mock_os,,favicon.png
7,sir,[],index.html,https://www.apple.com/siri/,"sir asistant",Useless+here+%3D%29,1,"2023-08-22 20:49:46",mock_os,parentstyle.css,favicon.png
8,notflix,[],index.html,https://www.netflix.com/,notflix,not+netflix+based+%7E_%7E,0,"2023-08-22 13:52:48",mock_os,,favicon.png
9,lens,[],index.php,0,Lens,I%27m+watching+you+%3A-%29,0,"2023-08-22 13:54:55",mock_os,,favicon.png
10,finder,[],index.php,https://www.apple.com/macos/ventura/,Finder,What+About+you+find+some+bitches,0,"2023-08-22 13:54:58",mock_os,,favicon.png
11,notechad,[],index.html,0,NoteChad,keeps+note+of+your+notes+with+a+chad,0,"2023-08-22 13:54:39",mock_os,,favicon.png
12,"file reader","["png","jpg","ico","html","php","css","mp4","js"]",index.php,0,"File reader",file+opener,0,"2023-08-22 13:56:51",mock_os,,favicon.png
13,"file editor","["html","css","php","ico","js"]",index.php,0,"File editor",bewerk+bestanden,0,"2023-08-22 13:57:03",mock_os,,favicon.png
14,finder,[],index.php,0,Finder,find+files,0,"2023-08-22 14:07:48",mock_os,,favicon.png
15,about,[],about/index.html,0,"System info",info+about+the+system,0,"2023-08-22 12:37:48",mock_os,,favicon.png
16,settings,[],settings/index.html,0,"System settings",edit+system+config,0,"2023-08-22 20:42:14",mock_os,parentstyle.css,favicon.png
